seed,team,winning_count,non_winning_count,winning_freq,non_winning_freq,freq_diff,relative_advantage
1,Houston,59,4187,0.295,0.21146464646464647,0.08353535353535352,0.3950322426558394
1,Duke,29,2421,0.145,0.12227272727272727,0.02272727272727272,0.18587360594795535
1,Auburn,12,810,0.06,0.04090909090909091,0.01909090909090909,0.4666666666666666
16,Alabama St,6,315,0.03,0.015909090909090907,0.014090909090909091,0.8857142857142858
12,UC San Diego,3,67,0.015,0.003383838383838384,0.011616161616161615,3.4328358208955216
5,Clemson,4,224,0.02,0.011313131313131313,0.008686868686868687,0.7678571428571429
5,Memphis,3,131,0.015,0.006616161616161616,0.008383838383838382,1.2671755725190836
4,Texas A&M,2,126,0.01,0.006363636363636364,0.0036363636363636364,0.5714285714285714
9,Georgia,1,42,0.005,0.0021212121212121214,0.0028787878787878787,1.357142857142857
10,Utah State,1,43,0.005,0.002171717171717172,0.0028282828282828283,1.3023255813953487
10,Arkansas,1,50,0.005,0.0025252525252525255,0.0024747474747474746,0.9799999999999999
3,Iowa State,2,185,0.01,0.009343434343434343,0.0006565656565656573,0.07027027027027036
9,Creighton,1,91,0.005,0.004595959595959596,0.00040404040404040404,0.0879120879120879
2,Alabama,7,691,0.035,0.0348989898989899,0.00010101010101010166,0.0028943560057887304
16,American,0,3,0.0,0.00015151515151515152,-0.00015151515151515152,-1.0
14,UNC Wilmington,0,3,0.0,0.00015151515151515152,-0.00015151515151515152,-1.0
15,Wofford,0,5,0.0,0.0002525252525252525,-0.0002525252525252525,-1.0
15,Omaha,0,5,0.0,0.0002525252525252525,-0.0002525252525252525,-1.0
16,SIUE,0,6,0.0,0.00030303030303030303,-0.00030303030303030303,-1.0
16,Norfolk St,0,6,0.0,0.00030303030303030303,-0.00030303030303030303,-1.0
8,Louisville,2,209,0.01,0.010555555555555556,-0.0005555555555555557,-0.05263157894736843
14,Montana,0,12,0.0,0.0006060606060606061,-0.0006060606060606061,-1.0
14,Troy,0,12,0.0,0.0006060606060606061,-0.0006060606060606061,-1.0
14,Lipscomb,0,12,0.0,0.0006060606060606061,-0.0006060606060606061,-1.0
15,Robert Morris,0,13,0.0,0.0006565656565656566,-0.0006565656565656566,-1.0
15,Bryant,0,14,0.0,0.0007070707070707071,-0.0007070707070707071,-1.0
13,Grand Canyon,0,18,0.0,0.0009090909090909091,-0.0009090909090909091,-1.0
10,Vanderbilt,0,25,0.0,0.0012626262626262627,-0.0012626262626262627,-1.0
6,Ole Miss,1,126,0.005,0.006363636363636364,-0.0013636363636363637,-0.2142857142857143
6,Missouri,0,27,0.0,0.0013636363636363637,-0.0013636363636363637,-1.0
13,Akron,0,27,0.0,0.0013636363636363637,-0.0013636363636363637,-1.0
9,Oklahoma,0,28,0.0,0.0014141414141414141,-0.0014141414141414141,-1.0
11,San Diego St,0,28,0.0,0.0014141414141414141,-0.0014141414141414141,-1.0
11,Texas,0,29,0.0,0.0014646464646464648,-0.0014646464646464648,-1.0
8,Mississippi St,0,31,0.0,0.0015656565656565658,-0.0015656565656565658,-1.0
12,Liberty,0,32,0.0,0.0016161616161616162,-0.0016161616161616162,-1.0
12,McNeese,0,32,0.0,0.0016161616161616162,-0.0016161616161616162,-1.0
13,High Point,0,33,0.0,0.0016666666666666668,-0.0016666666666666668,-1.0
9,Baylor,0,36,0.0,0.0018181818181818182,-0.0018181818181818182,-1.0
13,Yale,0,36,0.0,0.0018181818181818182,-0.0018181818181818182,-1.0
8,UConn,0,39,0.0,0.00196969696969697,-0.00196969696969697,-1.0
7,Marquette,0,42,0.0,0.0021212121212121214,-0.0021212121212121214,-1.0
7,Kansas,0,46,0.0,0.0023232323232323234,-0.0023232323232323234,-1.0
4,Arizona,1,150,0.005,0.007575757575757576,-0.002575757575757576,-0.34
5,Michigan,2,260,0.01,0.013131313131313131,-0.0031313131313131307,-0.23846153846153842
7,Saint Mary's,1,165,0.005,0.008333333333333333,-0.003333333333333333,-0.39999999999999997
7,UCLA,0,66,0.0,0.0033333333333333335,-0.0033333333333333335,-1.0
4,Maryland,1,168,0.005,0.008484848484848486,-0.0034848484848484856,-0.41071428571428575
10,New Mexico,0,77,0.0,0.0038888888888888888,-0.0038888888888888888,-1.0
4,Purdue,0,82,0.0,0.004141414141414141,-0.004141414141414141,-1.0
3,Kentucky,1,182,0.005,0.009191919191919192,-0.004191919191919192,-0.45604395604395603
3,Wisconsin,1,203,0.005,0.010252525252525253,-0.0052525252525252525,-0.5123152709359606
6,Illinois,0,109,0.0,0.005505050505050505,-0.005505050505050505,-1.0
11,Drake,0,123,0.0,0.006212121212121212,-0.006212121212121212,-1.0
11,VCU,0,125,0.0,0.006313131313131313,-0.006313131313131313,-1.0
12,Colorado St,0,126,0.0,0.006363636363636364,-0.006363636363636364,-1.0
3,Texas Tech,1,232,0.005,0.011717171717171718,-0.006717171717171718,-0.5732758620689655
5,Oregon,0,136,0.0,0.006868686868686869,-0.006868686868686869,-1.0
2,St John's,20,2132,0.1,0.10767676767676768,-0.007676767676767671,-0.07129455909943709
8,Gonzaga,0,179,0.0,0.00904040404040404,-0.00904040404040404,-1.0
2,Michigan St,7,906,0.035,0.04575757575757576,-0.010757575757575757,-0.23509933774834435
6,BYU,0,214,0.0,0.010808080808080808,-0.010808080808080808,-1.0
1,Florida,25,2864,0.125,0.14464646464646463,-0.019646464646464634,-0.13582402234636864
2,Tennessee,6,983,0.03,0.04964646464646465,-0.019646464646464648,-0.3957273652085453
