round,seed,team,winning_count,non_winning_count,winning_freq,non_winning_freq,freq_diff,relative_advantage
First Round,9,Oklahoma,83,7190,0.415,0.36313131313131314,0.05186868686868684,0.142837273991655
First Round,16,Alabama St,91,8143,0.455,0.4112626262626263,0.04373737373737374,0.10634901142085228
First Round,12,Colorado St,94,8476,0.47,0.42808080808080806,0.04191919191919191,0.09792354884379423
First Round,11,North Carolina,95,8579,0.475,0.43328282828282827,0.04171717171717171,0.09628161790418462
First Round,10,New Mexico,100,9224,0.5,0.46585858585858586,0.03414141414141414,0.07328707718993928
First Round,10,Arkansas,94,8791,0.47,0.443989898989899,0.026010101010100983,0.05858264133773171
First Round,11,VCU,83,7794,0.415,0.3936363636363636,0.021363636363636362,0.054272517321016164
First Round,14,Lipscomb,50,4634,0.25,0.23404040404040405,0.01595959595959595,0.06819162710401377
First Round,13,Grand Canyon,60,5868,0.3,0.2963636363636364,0.0036363636363636043,0.01226993865030664
First Round,12,McNeese,58,5770,0.29,0.2914141414141414,-0.0014141414141414232,-0.004852686308492233
First Round,9,Creighton,73,7285,0.365,0.36792929292929294,-0.002929292929292948,-0.007961564859299983
First Round,12,Liberty,65,6520,0.325,0.3292929292929293,-0.004292929292929293,-0.01303680981595092
First Round,13,High Point,76,7611,0.38,0.3843939393939394,-0.0043939393939393945,-0.011430823807646828
First Round,14,Montana,45,4594,0.225,0.23202020202020202,-0.00702020202020201,-0.030256856769699563
First Round,9,Baylor,91,9256,0.455,0.4674747474747475,-0.012474747474747472,-0.02668539325842696
First Round,11,Drake,111,11237,0.555,0.5675252525252525,-0.012525252525252495,-0.022069947494882922
First Round,13,Akron,59,6185,0.295,0.31237373737373736,-0.017373737373737375,-0.05561843168957155
First Round,10,Utah State,75,7850,0.375,0.39646464646464646,-0.021464646464646464,-0.054140127388535034
First Round,10,Vanderbilt,53,5709,0.265,0.28833333333333333,-0.023333333333333317,-0.08092485549132943
First Round,15,Wofford,21,2543,0.105,0.12843434343434343,-0.023434343434343433,-0.18246165945733386
First Round,14,Troy,43,4742,0.215,0.23949494949494948,-0.024494949494949486,-0.102277520033741
First Round,9,Georgia,57,6169,0.285,0.31156565656565655,-0.02656565656565657,-0.08526503485167776
First Round,15,Bryant,23,2831,0.115,0.14297979797979798,-0.02797979797979798,-0.1956905687036383
First Round,12,UC San Diego,60,6623,0.3,0.3344949494949495,-0.03449494949494952,-0.10312547184055572
First Round,15,Omaha,14,2077,0.07,0.1048989898989899,-0.03489898989898989,-0.332691381800674
First Round,13,Yale,60,6673,0.3,0.337020202020202,-0.03702020202020201,-0.10984564663569606
First Round,11,Xavier,75,8268,0.375,0.4175757575757576,-0.0425757575757576,-0.1019593613933237
First Round,15,Robert Morris,29,3797,0.145,0.19176767676767678,-0.04676767676767679,-0.24387674479852525
First Round,16,SIUE,7,1771,0.035,0.08944444444444444,-0.054444444444444434,-0.608695652173913
First Round,14,UNC Wilmington,13,2574,0.065,0.13,-0.065,-0.5
First Round,16,Mount St Marys,3,1595,0.015,0.08055555555555556,-0.06555555555555556,-0.8137931034482759
First Round,16,Norfolk St,7,2106,0.035,0.10636363636363637,-0.07136363636363637,-0.6709401709401709
Second Round,5,Michigan,89,7539,0.445,0.38075757575757574,0.06424242424242427,0.1687226422602468
Second Round,6,Illinois,64,5427,0.32,0.2740909090909091,0.0459090909090909,0.1674958540630182
Second Round,16,Alabama St,53,4357,0.265,0.22005050505050505,0.04494949494949496,0.20426899242598123
Second Round,12,Colorado St,51,4241,0.255,0.21419191919191918,0.04080808080808082,0.1905211035133224
Second Round,6,BYU,69,6249,0.345,0.3156060606060606,0.02939393939393936,0.09313490158425337
Second Round,7,UCLA,45,3917,0.225,0.19782828282828283,0.02717171717171718,0.13735001276487113
Second Round,10,New Mexico,37,3188,0.185,0.16101010101010102,0.023989898989898978,0.14899623588456704
Second Round,14,Lipscomb,16,1234,0.08,0.06232323232323232,0.01767676767676768,0.2836304700162075
Second Round,5,Clemson,85,8078,0.425,0.407979797979798,0.01702020202020199,0.041718247090864004
Second Round,11,VCU,43,3979,0.215,0.20095959595959595,0.014040404040404048,0.06986680070369443
Second Round,12,UC San Diego,36,3298,0.18,0.16656565656565656,0.013434343434343438,0.08065494238932688
Second Round,12,Liberty,29,2634,0.145,0.13303030303030303,0.011969696969696964,0.08997722095671977
Second Round,5,Oregon,68,6562,0.34,0.33141414141414144,0.008585858585858586,0.025906735751295335
Second Round,6,Missouri,30,2887,0.15,0.1458080808080808,0.004191919191919191,0.028749567024592998
Second Round,9,Creighton,26,2595,0.13,0.13106060606060607,-0.0010606060606060674,-0.008092485549133
Second Round,11,Xavier,39,3948,0.195,0.1993939393939394,-0.0043939393939393945,-0.02203647416413374
Second Round,15,Wofford,6,697,0.03,0.0352020202020202,-0.005202020202020201,-0.14777618364418935
Second Round,11,North Carolina,43,4373,0.215,0.22085858585858587,-0.0058585858585858686,-0.02652641207409106
Second Round,15,Robert Morris,11,1215,0.055,0.06136363636363636,-0.006363636363636363,-0.10370370370370369
Second Round,14,Troy,12,1330,0.06,0.06717171717171717,-0.007171717171717176,-0.10676691729323315
Second Round,7,Saint Mary's,54,5576,0.27,0.2816161616161616,-0.01161616161616158,-0.04124820659971293
Second Round,15,Omaha,3,560,0.015,0.028282828282828285,-0.013282828282828285,-0.4696428571428572
Second Round,5,Memphis,53,5538,0.265,0.2796969696969697,-0.014696969696969708,-0.05254604550379202
Second Round,10,Vanderbilt,14,1685,0.07,0.08510101010101011,-0.015101010101010101,-0.1774480712166172
Second Round,15,Bryant,5,806,0.025,0.040707070707070706,-0.015707070707070704,-0.3858560794044664
Second Round,16,Mount St Marys,0,363,0.0,0.018333333333333333,-0.018333333333333333,-1.0
Second Round,8,Louisville,47,5019,0.235,0.2534848484848485,-0.018484848484848493,-0.07292289300657505
Second Round,16,Norfolk St,2,590,0.01,0.0297979797979798,-0.0197979797979798,-0.664406779661017
Second Round,6,Ole Miss,51,5445,0.255,0.275,-0.020000000000000018,-0.07272727272727278
Second Round,13,High Point,24,2774,0.12,0.1401010101010101,-0.02010101010101009,-0.1434751261715933
Second Round,16,SIUE,0,421,0.0,0.021262626262626264,-0.021262626262626264,-1.0
Second Round,13,Grand Canyon,14,1905,0.07,0.09621212121212121,-0.0262121212121212,-0.27244094488188964
Second Round,13,Akron,18,2317,0.09,0.11702020202020202,-0.027020202020202028,-0.2309020284851101
Second Round,14,UNC Wilmington,0,550,0.0,0.027777777777777776,-0.027777777777777776,-1.0
Second Round,9,Georgia,9,1461,0.045,0.07378787878787879,-0.028787878787878793,-0.3901437371663245
Second Round,10,Arkansas,18,2364,0.09,0.1193939393939394,-0.029393939393939403,-0.2461928934010153
Second Round,7,Marquette,26,3189,0.13,0.16106060606060607,-0.031060606060606066,-0.19285042333019758
Second Round,8,UConn,26,3194,0.13,0.16131313131313132,-0.03131313131313132,-0.1941139636819036
Second Round,9,Oklahoma,11,1730,0.055,0.08737373737373737,-0.03237373737373737,-0.3705202312138728
Second Round,14,Montana,5,1169,0.025,0.05904040404040404,-0.03404040404040404,-0.5765611633875106
Second Round,8,Gonzaga,32,3889,0.16,0.1964141414141414,-0.0364141414141414,-0.1853947030084854
Second Round,11,Drake,47,5470,0.235,0.27626262626262627,-0.04126262626262628,-0.14936014625228525
Second Round,13,Yale,13,2137,0.065,0.10792929292929293,-0.04292929292929293,-0.39775386055217593
Second Round,7,Kansas,17,2550,0.085,0.12878787878787878,-0.04378787878787878,-0.3399999999999999
Second Round,9,Baylor,14,2284,0.07,0.11535353535353535,-0.04535353535353534,-0.3931698774080559
Second Round,12,McNeese,16,2532,0.08,0.12787878787878787,-0.04787878787878787,-0.37440758293838855
Second Round,8,Mississippi St,12,2231,0.06,0.11267676767676768,-0.05267676767676768,-0.46750336172120127
Second Round,10,Utah State,13,2572,0.065,0.1298989898989899,-0.0648989898989899,-0.49961119751166405
Sweet 16,5,Michigan,52,3552,0.26,0.17939393939393938,0.08060606060606063,0.44932432432432445
Sweet 16,3,Iowa State,41,3412,0.205,0.17232323232323232,0.032676767676767665,0.18962485345838212
Sweet 16,10,New Mexico,21,1462,0.105,0.07383838383838384,0.031161616161616154,0.4220246238030095
Sweet 16,3,Kentucky,40,3643,0.2,0.18398989898989898,0.01601010101010103,0.08701619544331606
Sweet 16,12,UC San Diego,14,1119,0.07,0.05651515151515152,0.013484848484848488,0.23860589812332444
Sweet 16,7,UCLA,20,1795,0.1,0.09065656565656566,0.009343434343434348,0.10306406685236774
Sweet 16,6,Missouri,9,707,0.045,0.03570707070707071,0.00929292929292929,0.2602545968882602
Sweet 16,6,BYU,31,2990,0.155,0.151010101010101,0.003989898989898988,0.026421404682274233
Sweet 16,12,Liberty,8,752,0.04,0.03797979797979798,0.0020202020202020193,0.0531914893617021
Sweet 16,4,Purdue,17,1644,0.085,0.08303030303030302,0.0019696969696969824,0.023722627737226432
Sweet 16,8,UConn,14,1348,0.07,0.06808080808080808,0.0019191919191919316,0.02818991097922867
Sweet 16,15,Omaha,2,177,0.01,0.00893939393939394,0.0010606060606060605,0.11864406779661016
Sweet 16,5,Memphis,20,2011,0.1,0.10156565656565657,-0.0015656565656565619,-0.015415216310293349
Sweet 16,14,Lipscomb,3,343,0.015,0.017323232323232324,-0.0023232323232323243,-0.13411078717201172
Sweet 16,16,Norfolk St,1,157,0.005,0.00792929292929293,-0.00292929292929293,-0.3694267515923567
Sweet 16,12,Colorado St,15,1545,0.075,0.07803030303030303,-0.003030303030303036,-0.03883495145631075
Sweet 16,11,VCU,17,1755,0.085,0.08863636363636364,-0.003636363636363632,-0.04102564102564098
Sweet 16,15,Robert Morris,3,382,0.015,0.019292929292929292,-0.004292929292929293,-0.22251308900523561
Sweet 16,16,Mount St Marys,0,103,0.0,0.005202020202020202,-0.005202020202020202,-1.0
Sweet 16,16,SIUE,0,108,0.0,0.005454545454545455,-0.005454545454545455,-1.0
Sweet 16,9,Creighton,11,1203,0.055,0.06075757575757576,-0.00575757575757576,-0.09476309226932672
Sweet 16,14,UNC Wilmington,0,126,0.0,0.006363636363636364,-0.006363636363636364,-1.0
Sweet 16,16,Alabama St,24,2513,0.12,0.12691919191919193,-0.006919191919191936,-0.05451651412654211
Sweet 16,5,Oregon,21,2219,0.105,0.11207070707070707,-0.007070707070707075,-0.06309148264984231
Sweet 16,3,Wisconsin,35,3608,0.175,0.18222222222222223,-0.007222222222222241,-0.03963414634146352
Sweet 16,14,Troy,2,353,0.01,0.01782828282828283,-0.007828282828282828,-0.43909348441926344
Sweet 16,15,Wofford,0,177,0.0,0.00893939393939394,-0.00893939393939394,-1.0
Sweet 16,8,Gonzaga,18,1964,0.09,0.09919191919191919,-0.009191919191919196,-0.09266802443991858
Sweet 16,13,Grand Canyon,3,497,0.015,0.0251010101010101,-0.0101010101010101,-0.40241448692152915
Sweet 16,10,Vanderbilt,4,626,0.02,0.03161616161616162,-0.011616161616161618,-0.3674121405750799
