round,upsets,winners_density,non_winners_density,advantage,relative_advantage
First Round,0.0,0.01,0.005204081632653061,0.004795918367346939,0.9215686274509804
First Round,1.0,0.015,0.010306122448979592,0.004693877551020407,0.45544554455445535
First Round,2.0,0.035,0.012959183673469387,0.022040816326530616,1.7007874015748035
First Round,3.0,0.045,0.020612244897959184,0.024387755102040814,1.183168316831683
First Round,4.0,0.06,0.03173469387755102,0.02826530612244898,0.8906752411575563
First Round,5.0,0.1,0.042755102040816326,0.05724489795918368,1.3389021479713605
First Round,6.0,0.105,0.059897959183673466,0.04510204081632653,0.7529812606473595
First Round,7.0,0.135,0.07653061224489796,0.05846938775510205,0.7640000000000001
First Round,8.0,0.1,0.09285714285714286,0.007142857142857145,0.07692307692307694
First Round,9.0,0.09,0.10418367346938776,-0.014183673469387759,-0.1361410381978453
First Round,10.0,0.075,0.11010204081632653,-0.035102040816326535,-0.3188137164040779
First Round,11.0,0.07,0.10591836734693877,-0.03591836734693876,-0.33911368015414245
First Round,12.0,0.09,0.09806122448979591,-0.008061224489795918,-0.08220603537981269
First Round,13.0,0.035,0.07826530612244897,-0.04326530612244897,-0.5528031290743154
First Round,14.0,0.025,0.059489795918367346,-0.034489795918367344,-0.5797598627787307
First Round,15.0,0.005,0.038469387755102044,-0.03346938775510205,-0.8700265251989391
First Round,16.0,0.005,0.02469387755102041,-0.01969387755102041,-0.7975206611570248
First Round,17.0,0.0,0.013571428571428571,-0.013571428571428571,-1.0
First Round,18.0,0.0,0.007653061224489796,-0.007653061224489796,-1.0
First Round,19.0,0.0,0.004081632653061225,-0.004081632653061225,-1.0
First Round,20.0,0.0,0.0014285714285714286,-0.0014285714285714286,-1.0
First Round,21.0,0.0,0.0008163265306122449,-0.0008163265306122449,-1.0
First Round,22.0,0.0,0.00020408163265306123,-0.00020408163265306123,-1.0
First Round,23.0,0.0,0.00020408163265306123,-0.00020408163265306123,-1.0
First Round,24.0,0.0,0.0,0.0,inf
First Round,25.0,0.0,0.0,0.0,inf
First Round,26.0,0.0,0.0,0.0,inf
First Round,27.0,0.0,0.0,0.0,inf
First Round,28.0,0.0,0.0,0.0,inf
First Round,29.0,0.0,0.0,0.0,inf
First Round,30.0,0.0,0.0,0.0,inf
First Round,31.0,0.0,0.0,0.0,inf
First Round,32.0,0.0,0.0,0.0,inf
Second Round,0.0,0.025,0.006224489795918367,0.018775510204081636,3.0163934426229515
Second Round,1.0,0.03,0.015612244897959184,0.014387755102040815,0.9215686274509803
Second Round,2.0,0.025,0.02142857142857143,0.0035714285714285726,0.1666666666666667
Second Round,3.0,0.055,0.03642857142857143,0.018571428571428572,0.5098039215686275
Second Round,4.0,0.145,0.062040816326530614,0.08295918367346938,1.3371710526315788
Second Round,5.0,0.135,0.08561224489795918,0.049387755102040826,0.5768772348033374
Second Round,6.0,0.17,0.11887755102040816,0.05112244897959185,0.43004291845493575
Second Round,7.0,0.145,0.14887755102040817,-0.003877551020408182,-0.02604523646333117
Second Round,8.0,0.125,0.15142857142857144,-0.02642857142857144,-0.17452830188679253
Second Round,9.0,0.065,0.12908163265306122,-0.06408163265306122,-0.49644268774703554
Second Round,10.0,0.045,0.10357142857142858,-0.05857142857142858,-0.5655172413793104
Second Round,11.0,0.025,0.0623469387755102,-0.0373469387755102,-0.5990180032733224
Second Round,12.0,0.005,0.03683673469387755,-0.03183673469387755,-0.8642659279778394
Second Round,13.0,0.005,0.015,-0.009999999999999998,-0.6666666666666666
Second Round,14.0,0.0,0.005510204081632653,-0.005510204081632653,-1.0
Second Round,15.0,0.0,0.0011224489795918367,-0.0011224489795918367,-1.0
Second Round,16.0,0.0,0.0,0.0,inf
Sweet 16,0.0,0.03,0.02040816326530612,0.009591836734693878,0.4700000000000001
Sweet 16,1.0,0.1,0.04857142857142857,0.051428571428571435,1.058823529411765
Sweet 16,2.0,0.185,0.1036734693877551,0.0813265306122449,0.7844488188976378
Sweet 16,3.0,0.27,0.17775510204081632,0.0922448979591837,0.51894374282434
Sweet 16,4.0,0.185,0.22010204081632653,-0.035102040816326535,-0.15948076031525268
Sweet 16,5.0,0.14,0.2039795918367347,-0.06397959183673468,-0.31365682841420706
Sweet 16,6.0,0.055,0.13428571428571429,-0.07928571428571429,-0.5904255319148937
Sweet 16,7.0,0.025,0.07255102040816326,-0.04755102040816326,-0.6554149085794655
Sweet 16,8.0,0.01,0.0186734693877551,-0.0086734693877551,-0.46448087431693985
Elite 8,0.0,0.075,0.032755102040816324,0.04224489795918367,1.2897196261682244
Elite 8,1.0,0.22,0.1239795918367347,0.0960204081632653,0.7744855967078189
Elite 8,2.0,0.345,0.2702040816326531,0.07479591836734689,0.2768126888217521
Elite 8,3.0,0.26,0.35520408163265305,-0.09520408163265304,-0.2680264291870152
Elite 8,4.0,0.1,0.21785714285714286,-0.11785714285714285,-0.540983606557377
Total Upsets,0.0,0.005,0.001326530612244898,0.003673469387755102,2.7692307692307687
Total Upsets,1.0,0.0,0.0024489795918367346,-0.0024489795918367346,-1.0
Total Upsets,2.0,0.005,0.0024489795918367346,0.0025510204081632655,1.0416666666666667
Total Upsets,3.0,0.03,0.0033673469387755102,0.02663265306122449,7.909090909090909
Total Upsets,4.0,0.0,0.004489795918367347,-0.004489795918367347,-1.0
Total Upsets,5.0,0.0,0.004285714285714286,-0.004285714285714286,-1.0
Total Upsets,6.0,0.0,0.00510204081632653,-0.00510204081632653,-1.0
Total Upsets,7.0,0.01,0.005612244897959183,0.004387755102040817,0.781818181818182
Total Upsets,8.0,0.01,0.006326530612244898,0.003673469387755102,0.5806451612903225
Total Upsets,9.0,0.02,0.007142857142857143,0.012857142857142859,1.8000000000000003
Total Upsets,10.0,0.025,0.007244897959183674,0.017755102040816328,2.450704225352113
Total Upsets,11.0,0.01,0.00816326530612245,0.0018367346938775505,0.22499999999999992
Total Upsets,12.0,0.035,0.01020408163265306,0.024795918367346945,2.4300000000000006
Total Upsets,13.0,0.025,0.012959183673469387,0.012040816326530614,0.9291338582677168
Total Upsets,14.0,0.055,0.015510204081632653,0.03948979591836735,2.5460526315789473
