seed,team,winning_count,non_winning_count,winning_freq,non_winning_freq,freq_diff,relative_advantage
1,South Carolina,49,4087,0.245,0.2064141414141414,0.038585858585858585,0.1869341815512601
2,UConn,22,1587,0.11,0.08015151515151515,0.029848484848484846,0.37240075614366724
1,UCLA,34,2807,0.17,0.14176767676767676,0.028232323232323248,0.1991449946562167
7,Oklahoma St,4,173,0.02,0.008737373737373738,0.011262626262626262,1.2890173410404622
1,Texas,24,2228,0.12,0.11252525252525253,0.007474747474747467,0.0664272890484739
4,Baylor,3,219,0.015,0.01106060606060606,0.003939393939393939,0.35616438356164376
8,Utah,1,31,0.005,0.0015656565656565658,0.0034343434343434343,2.193548387096774
11,Columbia,1,38,0.005,0.0019191919191919192,0.0030808080808080807,1.6052631578947367
5,Alabama,1,44,0.005,0.0022222222222222222,0.002777777777777778,1.25
4,Ohio State,2,155,0.01,0.007828282828282828,0.002171717171717172,0.27741935483870966
6,Michigan,1,58,0.005,0.0029292929292929295,0.0020707070707070706,0.7068965517241378
2,NC State,19,1870,0.095,0.09444444444444444,0.0005555555555555591,0.005882352941176509
15,Fair Dickinson,0,2,0.0,0.00010101010101010101,-0.00010101010101010101,-1.0
16,UNC Greensboro,0,2,0.0,0.00010101010101010101,-0.00010101010101010101,-1.0
14,SF Austin,0,3,0.0,0.00015151515151515152,-0.00015151515151515152,-1.0
16,William & Mary,0,5,0.0,0.0002525252525252525,-0.0002525252525252525,-1.0
16,Southern,0,6,0.0,0.00030303030303030303,-0.00030303030303030303,-1.0
15,Lehigh,0,9,0.0,0.00045454545454545455,-0.00045454545454545455,-1.0
15,Arkansas St,0,10,0.0,0.000505050505050505,-0.000505050505050505,-1.0
15,Vermont,0,11,0.0,0.0005555555555555556,-0.0005555555555555556,-1.0
9,Georgia Tech,0,11,0.0,0.0005555555555555556,-0.0005555555555555556,-1.0
3,LSU,2,209,0.01,0.010555555555555556,-0.0005555555555555557,-0.05263157894736843
16,Tennessee Tech,0,14,0.0,0.0007070707070707071,-0.0007070707070707071,-1.0
10,S Dakota St,0,14,0.0,0.0007070707070707071,-0.0007070707070707071,-1.0
14,San Diego St,0,14,0.0,0.0007070707070707071,-0.0007070707070707071,-1.0
9,Mississippi St,0,15,0.0,0.0007575757575757576,-0.0007575757575757576,-1.0
3,North Carolina,2,215,0.01,0.010858585858585859,-0.0008585858585858589,-0.07906976744186049
14,Oregon St,0,19,0.0,0.0009595959595959596,-0.0009595959595959596,-1.0
13,Montana St,0,20,0.0,0.00101010101010101,-0.00101010101010101,-1.0
10,Oregon,0,24,0.0,0.0012121212121212121,-0.0012121212121212121,-1.0
12,South Florida,0,25,0.0,0.0012626262626262627,-0.0012626262626262627,-1.0
11,Murray St,0,27,0.0,0.0013636363636363637,-0.0013636363636363637,-1.0
8,Illinois,0,29,0.0,0.0014646464646464648,-0.0014646464646464648,-1.0
10,Nebraska,0,30,0.0,0.0015151515151515152,-0.0015151515151515152,-1.0
6,West Virginia,1,129,0.005,0.0065151515151515155,-0.0015151515151515154,-0.23255813953488375
13,Grand Canyon,0,32,0.0,0.0016161616161616162,-0.0016161616161616162,-1.0
13,Norfolk St,0,32,0.0,0.0016161616161616162,-0.0016161616161616162,-1.0
12,Ball State,0,33,0.0,0.0016666666666666668,-0.0016666666666666668,-1.0
12,Green Bay,0,34,0.0,0.0017171717171717172,-0.0017171717171717172,-1.0
5,Tennessee,0,35,0.0,0.0017676767676767678,-0.0017676767676767678,-1.0
13,Liberty,0,36,0.0,0.0018181818181818182,-0.0018181818181818182,-1.0
9,Indiana,0,38,0.0,0.0019191919191919192,-0.0019191919191919192,-1.0
12,Fairfield,0,39,0.0,0.00196969696969697,-0.00196969696969697,-1.0
10,Harvard,0,45,0.0,0.0022727272727272726,-0.0022727272727272726,-1.0
7,Vanderbilt,0,46,0.0,0.0023232323232323234,-0.0023232323232323234,-1.0
8,Richmond,0,47,0.0,0.002373737373737374,-0.002373737373737374,-1.0
11,George Mason,0,50,0.0,0.0025252525252525255,-0.0025252525252525255,-1.0
5,Ole Miss,0,51,0.0,0.002575757575757576,-0.002575757575757576,-1.0
3,Notre Dame,4,448,0.02,0.022626262626262626,-0.002626262626262626,-0.11607142857142855
6,Florida St,0,55,0.0,0.002777777777777778,-0.002777777777777778,-1.0
9,Creighton,1,155,0.005,0.007828282828282828,-0.0028282828282828283,-0.36129032258064514
11,Iowa State,0,58,0.0,0.0029292929292929295,-0.0029292929292929295,-1.0
7,Michigan St,0,61,0.0,0.0030808080808080807,-0.0030808080808080807,-1.0
8,California,0,62,0.0,0.0031313131313131315,-0.0031313131313131315,-1.0
14,FGCU,0,63,0.0,0.003181818181818182,-0.003181818181818182,-1.0
6,Iowa,0,68,0.0,0.0034343434343434343,-0.0034343434343434343,-1.0
5,Kansas St,0,71,0.0,0.003585858585858586,-0.003585858585858586,-1.0
7,Louisville,0,72,0.0,0.0036363636363636364,-0.0036363636363636364,-1.0
4,Kentucky,0,72,0.0,0.0036363636363636364,-0.0036363636363636364,-1.0
3,Oklahoma,1,197,0.005,0.00994949494949495,-0.004949494949494949,-0.49746192893401014
4,Maryland,0,162,0.0,0.008181818181818182,-0.008181818181818182,-1.0
2,TCU,6,776,0.03,0.039191919191919194,-0.009191919191919196,-0.2345360824742269
2,Duke,5,773,0.025,0.03904040404040404,-0.01404040404040404,-0.35963777490297544
1,USC,17,2049,0.085,0.10348484848484849,-0.01848484848484848,-0.17862371888726203
