round,upsets,winners_density,non_winners_density,advantage,relative_advantage
First Round,0.0,0.13,0.0005555555555555556,0.12944444444444445,233.0
First Round,1.0,0.305,0.0033333333333333335,0.30166666666666664,90.49999999999999
First Round,2.0,0.21,0.012777777777777779,0.19722222222222222,15.43478260869565
First Round,3.0,0.21,0.017222222222222222,0.19277777777777777,11.193548387096774
First Round,4.0,0.07,0.024444444444444446,0.04555555555555556,1.8636363636363635
First Round,5.0,0.035,0.042777777777777776,-0.007777777777777772,-0.1818181818181817
First Round,6.0,0.025,0.0661111111111111,-0.041111111111111105,-0.6218487394957982
First Round,7.0,0.01,0.08555555555555555,-0.07555555555555556,-0.8831168831168832
First Round,8.0,0.005,0.08555555555555555,-0.08055555555555555,-0.9415584415584415
First Round,9.0,0.0,0.10555555555555556,-0.10555555555555556,-1.0
First Round,10.0,0.0,0.10277777777777777,-0.10277777777777777,-1.0
First Round,11.0,0.0,0.10833333333333334,-0.10833333333333334,-1.0
First Round,12.0,0.0,0.08611111111111111,-0.08611111111111111,-1.0
First Round,13.0,0.0,0.07722222222222222,-0.07722222222222222,-1.0
First Round,14.0,0.0,0.05444444444444444,-0.05444444444444444,-1.0
First Round,15.0,0.0,0.03944444444444444,-0.03944444444444444,-1.0
First Round,16.0,0.0,0.03277777777777778,-0.03277777777777778,-1.0
First Round,17.0,0.0,0.026111111111111113,-0.026111111111111113,-1.0
First Round,18.0,0.0,0.012222222222222223,-0.012222222222222223,-1.0
First Round,19.0,0.0,0.0077777777777777776,-0.0077777777777777776,-1.0
First Round,20.0,0.0,0.005555555555555556,-0.005555555555555556,-1.0
First Round,21.0,0.0,0.0016666666666666668,-0.0016666666666666668,-1.0
First Round,22.0,0.0,0.0011111111111111111,-0.0011111111111111111,-1.0
First Round,23.0,0.0,0.0005555555555555556,-0.0005555555555555556,-1.0
First Round,24.0,0.0,0.0,0.0,inf
First Round,25.0,0.0,0.0,0.0,inf
First Round,26.0,0.0,0.0,0.0,inf
First Round,27.0,0.0,0.0,0.0,inf
First Round,28.0,0.0,0.0,0.0,inf
First Round,29.0,0.0,0.0,0.0,inf
First Round,30.0,0.0,0.0,0.0,inf
First Round,31.0,0.0,0.0,0.0,inf
First Round,32.0,0.0,0.0,0.0,inf
Second Round,0.0,0.185,0.0016666666666666668,0.18333333333333332,109.99999999999999
Second Round,1.0,0.34,0.011111111111111112,0.3288888888888889,29.599999999999998
Second Round,2.0,0.235,0.02388888888888889,0.21111111111111108,8.83720930232558
Second Round,3.0,0.17,0.05333333333333334,0.11666666666666667,2.1875
Second Round,4.0,0.055,0.09333333333333334,-0.03833333333333334,-0.41071428571428575
Second Round,5.0,0.01,0.11166666666666666,-0.10166666666666667,-0.9104477611940299
Second Round,6.0,0.005,0.1338888888888889,-0.1288888888888889,-0.9626556016597511
Second Round,7.0,0.0,0.12277777777777778,-0.12277777777777778,-1.0
Second Round,8.0,0.0,0.14333333333333334,-0.14333333333333334,-1.0
Second Round,9.0,0.0,0.10222222222222223,-0.10222222222222223,-1.0
Second Round,10.0,0.0,0.07777777777777778,-0.07777777777777778,-1.0
Second Round,11.0,0.0,0.057777777777777775,-0.057777777777777775,-1.0
Second Round,12.0,0.0,0.03666666666666667,-0.03666666666666667,-1.0
Second Round,13.0,0.0,0.021666666666666667,-0.021666666666666667,-1.0
Second Round,14.0,0.0,0.007222222222222222,-0.007222222222222222,-1.0
Second Round,15.0,0.0,0.0016666666666666668,-0.0016666666666666668,-1.0
Second Round,16.0,0.0,0.0,0.0,inf
Sweet 16,0.0,0.36,0.017222222222222222,0.34277777777777774,19.903225806451612
Sweet 16,1.0,0.45,0.06277777777777778,0.38722222222222225,6.168141592920354
Sweet 16,2.0,0.145,0.14,0.004999999999999977,0.035714285714285546
Sweet 16,3.0,0.04,0.18333333333333332,-0.1433333333333333,-0.7818181818181817
Sweet 16,4.0,0.005,0.19444444444444445,-0.18944444444444444,-0.9742857142857143
Sweet 16,5.0,0.0,0.1661111111111111,-0.1661111111111111,-1.0
Sweet 16,6.0,0.0,0.13111111111111112,-0.13111111111111112,-1.0
Sweet 16,7.0,0.0,0.07555555555555556,-0.07555555555555556,-1.0
Sweet 16,8.0,0.0,0.029444444444444443,-0.029444444444444443,-1.0
Elite 8,0.0,0.535,0.043333333333333335,0.4916666666666667,11.346153846153847
Elite 8,1.0,0.33,0.15055555555555555,0.17944444444444446,1.1918819188191883
Elite 8,2.0,0.12,0.29444444444444445,-0.17444444444444446,-0.5924528301886792
Elite 8,3.0,0.015,0.3138888888888889,-0.29888888888888887,-0.9522123893805309
Elite 8,4.0,0.0,0.19777777777777777,-0.19777777777777777,-1.0
Total Upsets,0.0,0.025,0.0005555555555555556,0.024444444444444446,44.0
Total Upsets,1.0,0.065,0.0,0.065,inf
Total Upsets,2.0,0.1,0.0,0.1,inf
Total Upsets,3.0,0.105,0.0011111111111111111,0.10388888888888889,93.5
Total Upsets,4.0,0.135,0.002777777777777778,0.13222222222222224,47.6
Total Upsets,5.0,0.165,0.0033333333333333335,0.16166666666666668,48.5
Total Upsets,6.0,0.125,0.0044444444444444444,0.12055555555555555,27.125
Total Upsets,7.0,0.06,0.0016666666666666668,0.058333333333333334,35.0
Total Upsets,8.0,0.08,0.0077777777777777776,0.07222222222222223,9.285714285714286
Total Upsets,9.0,0.05,0.0077777777777777776,0.042222222222222223,5.428571428571429
Total Upsets,10.0,0.025,0.016666666666666666,0.008333333333333335,0.5000000000000001
Total Upsets,11.0,0.03,0.006666666666666667,0.02333333333333333,3.4999999999999996
Total Upsets,12.0,0.01,0.014444444444444444,-0.004444444444444444,-0.30769230769230765
Total Upsets,13.0,0.005,0.014444444444444444,-0.009444444444444443,-0.6538461538461537
Total Upsets,14.0,0.0,0.020555555555555556,-0.020555555555555556,-1.0
Total Upsets,15.0,0.005,0.021666666666666667,-0.016666666666666666,-0.7692307692307692
Total Upsets,16.0,0.005,0.025555555555555557,-0.020555555555555556,-0.8043478260869565
Total Upsets,17.0,0.005,0.028333333333333332,-0.02333333333333333,-0.8235294117647058
Total Upsets,18.0,0.005,0.03944444444444444,-0.034444444444444444,-0.8732394366197184
Total Upsets,19.0,0.0,0.04055555555555555,-0.04055555555555555,-1.0
