round,seed,team,winning_count,non_winning_count,winning_freq,non_winning_freq,freq_diff,relative_advantage
First Round,15,Fair Dickinson,6,463,0.03,0.09645833333333333,-0.06645833333333333,-0.6889848812095032
First Round,16,UNC Greensboro,0,394,0.0,0.08208333333333333,-0.08208333333333333,-1.0
First Round,16,Southern,5,525,0.025,0.109375,-0.084375,-0.7714285714285715
First Round,14,SF Austin,5,527,0.025,0.10979166666666666,-0.08479166666666665,-0.7722960151802656
First Round,16,William & Mary,2,474,0.01,0.09875,-0.08875000000000001,-0.8987341772151899
First Round,13,Montana St,42,1468,0.21,0.30583333333333335,-0.09583333333333335,-0.31335149863760225
First Round,15,Arkansas St,9,724,0.045,0.15083333333333335,-0.10583333333333335,-0.7016574585635359
First Round,11,George Mason,61,1975,0.305,0.4114583333333333,-0.10645833333333332,-0.2587341772151899
First Round,16,Tennessee Tech,6,656,0.03,0.13666666666666666,-0.10666666666666666,-0.7804878048780488
First Round,15,Vermont,2,575,0.01,0.11979166666666667,-0.10979166666666668,-0.9165217391304348
First Round,10,Nebraska,51,1754,0.255,0.36541666666666667,-0.11041666666666666,-0.30216647662485746
First Round,10,S Dakota St,17,969,0.085,0.201875,-0.11687499999999999,-0.5789473684210525
First Round,14,San Diego St,25,1179,0.125,0.245625,-0.12062500000000001,-0.4910941475826972
First Round,13,Grand Canyon,43,1641,0.215,0.341875,-0.126875,-0.3711151736745886
First Round,12,Fairfield,57,1979,0.285,0.41229166666666667,-0.1272916666666667,-0.3087417887822133
First Round,13,Liberty,50,1833,0.25,0.381875,-0.13187500000000002,-0.3453355155482815
First Round,15,Lehigh,10,888,0.05,0.185,-0.135,-0.7297297297297298
First Round,9,Mississippi St,37,1577,0.185,0.3285416666666667,-0.14354166666666668,-0.43690551680405837
First Round,10,Harvard,48,1860,0.24,0.3875,-0.14750000000000002,-0.3806451612903226
First Round,11,Murray St,39,1683,0.195,0.350625,-0.155625,-0.44385026737967914
First Round,14,FGCU,37,1713,0.185,0.356875,-0.171875,-0.4816112084063047
First Round,14,Oregon St,21,1334,0.105,0.27791666666666665,-0.17291666666666666,-0.6221889055472264
First Round,11,Iowa State,46,1972,0.23,0.41083333333333333,-0.18083333333333332,-0.4401622718052738
First Round,9,Indiana,51,2112,0.255,0.44,-0.185,-0.42045454545454547
First Round,12,Ball State,40,1883,0.2,0.39229166666666665,-0.19229166666666664,-0.4901752522570366
